retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of sales by product type,Q2-2017,Personal pensions,Other personal pensions,27119
Number of sales by product type,Q2-2018,Personal pensions,Other personal pensions,33747
Number of sales by product type,Q3-2021,Personal pensions,Other personal pensions,17471
Number of sales by product type,Q3-2020,Personal pensions,Other personal pensions,19989
Number of sales by product type,Q3-2018,Personal pensions,Other personal pensions,25470
Number of sales by product type,Q3-2019,Personal pensions,Other personal pensions,29548
Number of sales by product type,Q3-2017,Personal pensions,Other personal pensions,33074
Number of sales by product type,Q4-2021,Personal pensions,Other personal pensions,17094
Number of sales by product type,Q4-2020,Personal pensions,Other personal pensions,18667
Number of sales by product type,Q4-2018,Personal pensions,Other personal pensions,24968
Number of sales by product type,Q4-2019,Personal pensions,Other personal pensions,31668
Number of sales by product type,Q4-2017,Personal pensions,Other personal pensions,50557
Number of sales by product type,Q1-2017,Personal pensions,Personal pension,50977
Number of sales by product type,Q1-2018,Personal pensions,Personal pension,58106
Number of sales by product type,Q1-2019,Personal pensions,Personal pension,74792
Number of sales by product type,Q1-2020,Personal pensions,Personal pension,81876
Number of sales by product type,Q1-2021,Personal pensions,Personal pension,152867
Number of sales by product type,Q2-2017,Personal pensions,Personal pension,52689
Number of sales by product type,Q2-2018,Personal pensions,Personal pension,61095
Number of sales by product type,Q2-2020,Personal pensions,Personal pension,61986
Number of sales by product type,Q2-2019,Personal pensions,Personal pension,79658
Number of sales by product type,Q2-2021,Personal pensions,Personal pension,94692
Number of sales by product type,Q3-2017,Personal pensions,Personal pension,47431
Number of sales by product type,Q3-2018,Personal pensions,Personal pension,64973
Number of sales by product type,Q3-2020,Personal pensions,Personal pension,69498
Number of sales by product type,Q3-2019,Personal pensions,Personal pension,71758
Number of sales by product type,Q3-2021,Personal pensions,Personal pension,88483
Number of sales by product type,Q4-2017,Personal pensions,Personal pension,54133
Number of sales by product type,Q4-2018,Personal pensions,Personal pension,67363
Number of sales by product type,Q4-2019,Personal pensions,Personal pension,73657
Number of sales by product type,Q4-2020,Personal pensions,Personal pension,76866
Number of sales by product type,Q4-2021,Personal pensions,Personal pension,91406
Number of sales by product type,Q1-2021,SCARPs,SCARPs,1610
Number of sales by product type,Q1-2019,SCARPs,SCARPs,2913
Number of sales by product type,Q1-2020,SCARPs,SCARPs,3779
Number of sales by product type,Q1-2018,SCARPs,SCARPs,5214
Number of sales by product type,Q1-2017,SCARPs,SCARPs,6149
Number of sales by product type,Q2-2021,SCARPs,SCARPs,728
Number of sales by product type,Q2-2020,SCARPs,SCARPs,2270
Number of sales by product type,Q2-2018,SCARPs,SCARPs,3374
Number of sales by product type,Q2-2019,SCARPs,SCARPs,3684
Number of sales by product type,Q2-2017,SCARPs,SCARPs,5744
Number of sales by product type,Q3-2021,SCARPs,SCARPs,910
Number of sales by product type,Q3-2020,SCARPs,SCARPs,1615
Number of sales by product type,Q3-2019,SCARPs,SCARPs,2517
Number of sales by product type,Q3-2018,SCARPs,SCARPs,3112
Number of sales by product type,Q3-2017,SCARPs,SCARPs,5396
Number of sales by product type,Q4-2021,SCARPs,SCARPs,977
Number of sales by product type,Q4-2020,SCARPs,SCARPs,1992
Number of sales by product type,Q4-2018,SCARPs,SCARPs,3221
Number of sales by product type,Q4-2019,SCARPs,SCARPs,3363
Number of sales by product type,Q4-2017,SCARPs,SCARPs,4220
Number of sales by product type,Q1-2018,Personal pensions,Self Invested Personal Pensions (SIPPs),209609
Number of sales by product type,Q1-2019,Personal pensions,Self Invested Personal Pensions (SIPPs),215135
Number of sales by product type,Q1-2020,Personal pensions,Self Invested Personal Pensions (SIPPs),218910
Number of sales by product type,Q1-2021,Personal pensions,Self Invested Personal Pensions (SIPPs),230806
Number of sales by product type,Q1-2017,Personal pensions,Self Invested Personal Pensions (SIPPs),241707
Number of sales by product type,Q2-2020,Personal pensions,Self Invested Personal Pensions (SIPPs),181245
Number of sales by product type,Q2-2021,Personal pensions,Self Invested Personal Pensions (SIPPs),191782
Number of sales by product type,Q2-2019,Personal pensions,Self Invested Personal Pensions (SIPPs),224916
Number of sales by product type,Q2-2017,Personal pensions,Self Invested Personal Pensions (SIPPs),242816
Number of sales by product type,Q2-2018,Personal pensions,Self Invested Personal Pensions (SIPPs),252422
Number of sales by product type,Q3-2020,Personal pensions,Self Invested Personal Pensions (SIPPs),140026
Number of sales by product type,Q3-2021,Personal pensions,Self Invested Personal Pensions (SIPPs),205449
Number of sales by product type,Q3-2019,Personal pensions,Self Invested Personal Pensions (SIPPs),208369
Number of sales by product type,Q3-2017,Personal pensions,Self Invested Personal Pensions (SIPPs),219236
Number of sales by product type,Q3-2018,Personal pensions,Self Invested Personal Pensions (SIPPs),244930
Number of sales by product type,Q4-2020,Personal pensions,Self Invested Personal Pensions (SIPPs),200237
Number of sales by product type,Q4-2021,Personal pensions,Self Invested Personal Pensions (SIPPs),223926
Number of sales by product type,Q4-2019,Personal pensions,Self Invested Personal Pensions (SIPPs),232548
Number of sales by product type,Q4-2018,Personal pensions,Self Invested Personal Pensions (SIPPs),240941
Number of sales by product type,Q4-2017,Personal pensions,Self Invested Personal Pensions (SIPPs),250629
Number of sales by product type,Q1-2021,Personal pensions,Stakeholder pension,12441
Number of sales by product type,Q1-2020,Personal pensions,Stakeholder pension,18165
Number of sales by product type,Q1-2019,Personal pensions,Stakeholder pension,21158
Number of sales by product type,Q1-2018,Personal pensions,Stakeholder pension,24487
Number of sales by product type,Q1-2017,Personal pensions,Stakeholder pension,29371
Number of sales by product type,Q2-2021,Personal pensions,Stakeholder pension,13367
Number of sales by product type,Q2-2020,Personal pensions,Stakeholder pension,16888
Number of sales by product type,Q2-2019,Personal pensions,Stakeholder pension,23243
Number of sales by product type,Q2-2018,Personal pensions,Stakeholder pension,25391
Number of sales by product type,Q2-2017,Personal pensions,Stakeholder pension,31008
Number of sales by product type,Q3-2020,Personal pensions,Stakeholder pension,11013
Number of sales by product type,Q3-2021,Personal pensions,Stakeholder pension,14717
Number of sales by product type,Q3-2019,Personal pensions,Stakeholder pension,20033
Number of sales by product type,Q3-2018,Personal pensions,Stakeholder pension,23405
Number of sales by product type,Q3-2017,Personal pensions,Stakeholder pension,29008
Number of sales by product type,Q4-2020,Personal pensions,Stakeholder pension,12696
Number of sales by product type,Q4-2021,Personal pensions,Stakeholder pension,17287
Number of sales by product type,Q4-2019,Personal pensions,Stakeholder pension,20599
Number of sales by product type,Q4-2018,Personal pensions,Stakeholder pension,24737
Number of sales by product type,Q4-2017,Personal pensions,Stakeholder pension,26860
Number of sales by product type,Q1-2019,Bonds,Unit linked bond,8322
Number of sales by product type,Q1-2018,Bonds,Unit linked bond,9289
Number of sales by product type,Q1-2017,Bonds,Unit linked bond,10062
Number of sales by product type,Q1-2020,Bonds,Unit linked bond,10092
Number of sales by product type,Q1-2021,Bonds,Unit linked bond,13168
Number of sales by product type,Q2-2020,Bonds,Unit linked bond,10581
Number of sales by product type,Q2-2018,Bonds,Unit linked bond,10994
Number of sales by product type,Q2-2019,Bonds,Unit linked bond,11087
